V2,V81,V84,V297,V417,V420,V497,V601,V713,V721,V86,V103,V104,V370,V6,V868,V7,V172,V279,V229,V230,V231,V232,V233,V234,V235,V236,V237,V238,V239,V610
1,WEIBLICH,33,LEDIG,1800,1750 - 1999 EURO,1800,EVANG.OHNE FREIKIRCH,ERWERBSTAETIG,ERWERBSTAETIG,HOCHSCHULREIFE,HAUPTBERUFL.GANZTAGS,ANGESTELLTER,DEUTSCHLAND,JA,MECKLENB.-VORPOMMERN,NEUE BUNDESLAENDER,MITTELSCHICHT,23.53,OFT,NIE,OFT,OFT,NIE,NIE,NIE,NIE,NIE,NIE,NIE,.._duplicated_8
2,WEIBLICH,50,VERHEIRAT.ZUSAM.LEB.,1100,1000 - 1124 EURO,2467,KEINER RELIGIONSGEM.,ERWERBSTAETIG,ERWERBSTAETIG,MITTLERE REIFE,HAUPTBERUFL.GANZTAGS,ANGESTELLTER,DEUTSCHLAND,JA,THUERINGEN,NEUE BUNDESLAENDER,MITTELSCHICHT,28.23,OFT,OFT,FAST NIE,FAST NIE,MANCHMAL,FAST NIE,MANCHMAL,MANCHMAL,FAST NIE,NIE,NIE,.._duplicated_8
3,MAENNLICH,56,VERHEIRAT.ZUSAM.LEB.,2500,2500 - 2749 EURO,1750,EVANG.OHNE FREIKIRCH,ERWERBSTAETIG,ERWERBSTAETIG,MITTLERE REIFE,HAUPTBERUFL.GANZTAGS,LANDWIRT,DEUTSCHLAND,JA,HESSEN,ALTE BUNDESLAENDER,ARBEITERSCHICHT,24.77,MANCHMAL,FAST NIE,OFT,OFT,NIE,NIE,FAST NIE,FAST NIE,FAST NIE,FAST NIE,NIE,.._duplicated_5
4,MAENNLICH,61,VERHEIRAT.ZUSAM.LEB.,NA,875 - 999 EURO,4167,EVANG.OHNE FREIKIRCH,NA,NA,MITTLERE REIFE,NEBENHER BERUFSTAE.,NA,DEUTSCHLAND,JA,SACHSEN,NEUE BUNDESLAENDER,MITTELSCHICHT,38.87,FAST NIE,MANCHMAL,OFT,MANCHMAL,OFT,FAST NIE,MANCHMAL,MANCHMAL,FAST NIE,FAST NIE,MANCHMAL,.._duplicated_8
5,WEIBLICH,59,VERHEIRAT.ZUSAM.LEB.,1000,1000 - 1124 EURO,1000,KEINER RELIGIONSGEM.,NA,NA,MITTLERE REIFE,HAUPTBERUFL.HALBTAGS,ANGESTELLTER,DEUTSCHLAND,JA,THUERINGEN,NEUE BUNDESLAENDER,MITTELSCHICHT,30.82,NIE,NIE,IMMER,IMMER,NIE,NIE,NIE,NIE,NIE,NIE,NIE,.._duplicated_8
6,MAENNLICH,56,VERHEIRAT.ZUSAM.LEB.,NA,5000 - 7499 EURO,4667,KEINER RELIGIONSGEM.,NA,NA,MITTLERE REIFE,HAUPTBERUFL.GANZTAGS,SONST.SELBSTAENDIGE,DEUTSCHLAND,JA,BRANDENBURG,NEUE BUNDESLAENDER,MITTELSCHICHT,27.17,FAST NIE,FAST NIE,FAST NIE,NIE,NIE,NIE,NIE,NIE,NIE,NIE,NIE,.._duplicated_8
7,MAENNLICH,66,VERHEIRAT.ZUSAM.LEB.,1400,1375 - 1499 EURO,667,ROEMISCH-KATHOLISCH,FRUEHER ERWERBSTAETIG,IM RUHESTAND,"VOLKS-,HAUPTSCHULE",NICHT ERWERBSTAETIG,NA,DEUTSCHLAND,JA,NORDRHEIN-WESTFALEN,ALTE BUNDESLAENDER,ARBEITERSCHICHT,31.88,OFT,FAST NIE,FAST NIE,OFT,OFT,NIE,MANCHMAL,OFT,MANCHMAL,OFT,NIE,.._duplicated_8
8,WEIBLICH,25,LEDIG,NA,NA,2333,ROEMISCH-KATHOLISCH,NA,NA,HOCHSCHULREIFE,HAUPTBERUFL.GANZTAGS,ANGESTELLTER,DEUTSCHLAND,JA,NIEDERSACHSEN,ALTE BUNDESLAENDER,ARBEITERSCHICHT,24.59,FAST NIE,MANCHMAL,MANCHMAL,OFT,NIE,NIE,MANCHMAL,MANCHMAL,NIE,NIE,NIE,.._duplicated_8
9,MAENNLICH,58,VERHEIRAT.ZUSAM.LEB.,1700,1500 - 1749 EURO,2467,KEINER RELIGIONSGEM.,NA,NA,FACHHOCHSCHULREIFE,NICHT ERWERBSTAETIG,NA,DEUTSCHLAND,JA,NORDRHEIN-WESTFALEN,ALTE BUNDESLAENDER,OBERE MITTELSCHICHT,30.86,NIE,NIE,OFT,MANCHMAL,OFT,MANCHMAL,NIE,MANCHMAL,NIE,NIE,NIE,GANZ ZUFRIEDEN
10,MAENNLICH,53,VERHEIRAT.ZUSAM.LEB.,3000,3000 - 3999 EURO,1500,EVANG.OHNE FREIKIRCH,NA,NA,MITTLERE REIFE,HAUPTBERUFL.GANZTAGS,ARBEITER,DEUTSCHLAND,JA,NORDRHEIN-WESTFALEN,ALTE BUNDESLAENDER,MITTELSCHICHT,31.86,MANCHMAL,NIE,OFT,MANCHMAL,MANCHMAL,FAST NIE,NIE,NIE,NIE,NIE,NIE,.._duplicated_8
